"Frame","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z"
35,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-98.70759,1071.67004,-1481.79785,NA,NA,NA,NA,NA,NA,-673.00739,833.7384,-1526.80554,-288.76178,1005.45953,-1365.24988,-421.98138,991.22467,-1351.13818,NA,NA,NA,-141.01003,405.32516,-1490.52637,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100.65331,1071.79919,-1478.28418,NA,NA,NA,NA,NA,NA,-673.92657,833.65924,-1527.96973,-290.43744,1003.57196,-1369.68323,-424.73895,991.12476,-1355.13867,NA,NA,NA,-143.04825,404.6716,-1490.67822,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-102.12647,1071.63965,-1475.9447,NA,NA,NA,NA,NA,NA,-675.43103,832.57166,-1526.72363,-293.41907,1003.97968,-1368.78943,-428.33078,990.13483,-1356.38879,NA,NA,NA,-144.17415,404.41516,-1492.5376,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-103.14036,1072.24646,-1474.32312,NA,NA,NA,NA,NA,NA,-676.30688,832.72144,-1527.68469,-296.64401,1003.91858,-1369.27747,-430.43176,991.65234,-1350.96387,NA,NA,NA,-144.69809,404.53601,-1494.16504,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.33028,1071.94153,-1471.26489,NA,NA,NA,NA,NA,NA,-676.67584,832.51331,-1528.07007,-300.14703,1004.58411,-1364.73169,-434.65579,990.50525,-1354.19385,NA,NA,NA,-146.09624,403.89661,-1494.89124,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-105.22059,1071.71228,-1469.29797,NA,NA,NA,NA,NA,NA,-676.87225,832.30743,-1528.25952,-302.85773,1002.35687,-1366.1167,-437.85876,990.00586,-1355.2572,NA,NA,NA,-146.47797,403.70007,-1495.95154,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.12147,1071.65979,-1467.5675,NA,NA,NA,NA,NA,NA,-676.81525,831.53876,-1527.677,-307.58591,1002.5896,-1359.73645,-441.48138,992.20282,-1347.99939,NA,NA,NA,-148.45734,403.97391,-1495.89282,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-107.12368,1071.28113,-1465.50989,NA,NA,NA,NA,NA,NA,-676.95673,830.45215,-1526.40662,-309.85895,1001.54742,-1363.72437,-445.08475,989.82538,-1355.5321,NA,NA,NA,-150.1944,402.83566,-1494.41797,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-108.21942,1071.1344,-1462.37073,NA,NA,NA,NA,NA,NA,-676.98407,829.94946,-1526.04724,-314.79605,1002.20544,-1359.90454,-448.82034,991.7431,-1349.59741,NA,NA,NA,-151.31602,404.6163,-1495.58008,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-108.93339,1070.95386,-1461.01855,NA,NA,NA,NA,NA,NA,-677.41022,829.13831,-1524.93884,-317.20898,1001.28253,-1361.07935,-452.65439,989.9455,-1353.698,NA,NA,NA,-152.87338,404.95084,-1494.68701,NA,NA,NA,NA,NA,NA,NA,NA,NA
