"Participant","TrialNum","Block","TrialInBlock","ConditionID","Mode","Composition","Collider","n_frames","duration_sec","mean_visible","max_visible","mean_A","mean_B","AvgDist","AminusB"
"P1.2",35,12,1,"C3","VR","2R0V","1",571,5.7,14.183887915937,19,1562.08799972952,1539.92059120138,1551.00429546545,22.16740852814
"P1.2",36,12,2,"C3","VR","2R0V","1",1029,10.28,9.15160349854227,19,1536.66041446095,1286.61908147938,1411.63974797016,250.041332981561
"P1.2",37,12,3,"C3","VR","2R0V","1",686,6.85,10.8002915451895,14,1575.82271744489,1711.86983929867,1643.84627837178,-136.047121853778
"P2",5,11,1,"C11","AR","2R0V","1",1110,11.09,16.1315315315315,19,1312.35595559107,1497.99132399163,1405.17363979135,-185.635368400563
"P2",6,11,2,"C11","AR","2R0V","1",1009,10.08,9.83349851337958,19,1452.62314688802,2029.25936069281,1740.94125379041,-576.636213804788
"P2",7,11,3,"C11","AR","2R0V","1",784,7.83,13.780612244898,19,1581.14410540118,1609.74967220598,1595.44688880358,-28.6055668048014
"P2",8,10,1,"C10","AR","0R2V","0",932,9.31,14.618025751073,19,1468.9159369657,1486.81762960994,1477.86678328782,-17.9016926442439
"P2",9,10,2,"C10","AR","0R2V","0",622,6.21,14.2974276527331,19,1572.10118116533,1583.75096527828,1577.9260732218,-11.6497841129503
"P2",10,10,3,"C10","AR","0R2V","0",837,8.36,10.4384707287933,19,1474.80539928696,1886.56970273484,1680.6875510109,-411.764303447881
"P2",11,12,1,"C12","AR","1R1V","1",1163,11.62,11.4316423043852,19,1692.29642166081,1519.23460756678,1605.76551461379,173.06181409403
"P2",12,12,2,"C12","AR","1R1V","1",653,6.52,11.114854517611,19,1473.570795367,1699.20821529976,1586.38950533338,-225.637419932761
"P2",13,12,3,"C12","AR","1R1V","1",567,5.66,12.7848324514991,19,1576.26736783326,1681.95156757005,1629.10946770166,-105.684199736789
"P2",14,4,1,"C4","AR","1R1V","2",781,7.8,14.0192061459667,19,1603.50888179954,1400.7122768214,1502.11057931047,202.796604978149
"P2",15,4,2,"C4","AR","1R1V","2",440,4.39,14.6954545454545,19,1616.96095889626,1541.94498114274,1579.4529700195,75.0159777535162
"P2",16,4,3,"C4","AR","1R1V","2",483,4.82,13.2650103519669,19,1610.26013770099,1585.5166593197,1597.88839851035,24.7434783812914
"P2",17,1,1,"C1","VR","2R0V","0",1033,10.32,15.2604065827686,19,1488.14375742376,1351.17264457518,1419.65820099947,136.971112848575
"P2",18,1,2,"C1","VR","2R0V","0",433,4.32,14.2332563510393,19,1543.35838582643,1430.71202753285,1487.03520667964,112.646358293582
"P2",19,1,3,"C1","VR","2R0V","0",540,5.39,13.9833333333333,19,1600.29025033798,1475.20806092122,1537.7491556296,125.082189416762
"P2",20,6,1,"C6","AR","2R0V","2",787,7.86,14.9224904701398,19,1478.41905415014,1432.24255645188,1455.33080530101,46.1764976982604
"P2",21,6,2,"C6","AR","2R0V","2",600,5.99,10.79,15,1574.7707499406,1564.82338516988,1569.79706755524,9.94736477072183
"P2",22,6,3,"C6","AR","2R0V","2",624,6.23,13.1955128205128,19,1592.18056889091,1591.96804578481,1592.07430733786,0.212523106098615
"P2",23,2,1,"C2","VR","2R0V","2",1217,12.16,14.6754313886606,19,1539.7225077485,1296.12491489833,1417.92371132342,243.597592850169
"P2",24,2,2,"C2","VR","2R0V","2",597,5.96,11.142378559464,19,1649.52322447238,1805.78857218187,1727.65589832712,-156.265347709482
"P2",25,2,3,"C2","VR","2R0V","2",529,5.28,12.9621928166352,19,1541.98602550159,1631.62274406705,1586.80438478432,-89.6367185654537
"P2",26,3,1,"C3","VR","2R0V","1",948,9.47,12.3270042194093,19,1521.98637971026,1386.64135632554,1454.3138680179,135.345023384714
"P2",27,3,2,"C3","VR","2R0V","1",501,5,12.1377245508982,19,1545.59056794989,1748.76113141014,1647.17584968002,-203.170563460256
"P2",28,3,3,"C3","VR","2R0V","1",472,4.71,14.1165254237288,19,1536.19293663051,1608.10056326749,1572.146749949,-71.9076266369725
"P2",29,9,1,"C9","AR","0R2V","2",762,7.61,12.8700787401575,19,1525.22725340772,1357.97657973893,1441.60191657332,167.250673668793
"P2",30,9,2,"C9","AR","0R2V","2",591,5.9,13.6937394247039,19,1501.71398276801,1505.92031950013,1503.81715113407,-4.20633673211819
"P2",31,9,3,"C9","AR","0R2V","2",812,8.11,10.3374384236453,19,1725.07362257999,1697.26263317513,1711.16812787756,27.8109894048587
"P2",32,5,1,"C5","AR","0R2V","1",1499,14.98,13.0166777851901,18,1590.09520601783,1373.97504938728,1482.03512770256,216.120156630548
"P2",33,5,2,"C5","AR","0R2V","1",556,5.55,11.3741007194245,19,1560.5583863024,1621.35041758481,1590.9544019436,-60.7920312824031
"P2",37,7,3,"C7","AR","2R0V","0",563,5.62,13.5044404973357,19,1456.98018858211,1616.14714258501,1536.56366558356,-159.166954002898
"P2",38,8,1,"C8","AR","1R1V","0",1099,10.98,13.8544131028207,19,1451.26618895628,1290.61708459843,1370.94163677735,160.649104357844
"P2",39,8,2,"C8","AR","1R1V","0",539,5.38,14.6586270871985,19,1603.36114116023,1562.24786946361,1582.80450531192,41.113271696626
