"Participant","TrialNum","t0","t1","duration_sec","dt","mean_dist","mean_A","mean_B","mean_deltaAB","mean_markers","pct_frames_16plus","mid_start","mid_end","pct_mid_16plus"
"P1.2",27,0,9.45,9.45,0.00999999999999979,1343.65867576138,1312.06853812433,1375.24881339844,-63.1802752741137,10.4471458773784,41.3319238900634,2.3625,7.0875,37.6321353065539
"P1.2",28,0,6.11,6.11,0.01,1514.57034739751,1429.11901680739,1600.02167798763,-170.902661180233,13.8088235294118,56.5359477124183,1.5275,4.5825,48.8562091503268
"P1.2",29,0,7.05,7.05,0.01,1622.81113752105,1680.59030718019,1565.03196786191,115.558339318287,11.6940509915014,49.2917847025496,1.7625,5.2875,41.7847025495751
"P1.2",30,0,11.93,11.93,0.00999999999999979,1331.31760794671,1475.45650663213,1187.17870926129,288.277797370837,9.97571189279732,37.6046901172529,2.9825,8.9475,24.8743718592965
"P1.2",31,0,7.47,7.47,0.0099999999999999,1608.66817845619,1415.34045613426,1801.99590077811,-386.655444643854,10.9505347593583,44.5187165775401,1.8675,5.6025,44.5187165775401
"P1.2",32,0,7.23,7.23,0.00999999999999998,1629.90486670297,1511.78168617998,1748.02804722595,-236.246361045972,13.7002762430939,49.7237569060773,1.8075,5.4225,44.475138121547
"P1.2",33,0,7.65,7.65,0.00999999999999979,1321.34652601112,1259.05518455142,1383.63786747082,-124.582682919394,10.5548302872063,42.0365535248042,1.9125,5.7375,41.1227154046997
"P1.2",34,0,5.82,5.82,0.01,1614.85494088808,1559.90273304802,1669.80714872814,-109.90441568012,12.4082332761578,50.7718696397942,1.455,4.365,48.885077186964
"P1.2",35,0,5.7,5.7,0.01,1551.00429546545,1562.08799972952,1539.92059120138,22.1674085281408,14.183887915937,55.5166374781086,1.425,4.275,48.5113835376532
"P1.2",36,0,10.28,10.28,0.00999999999999979,1411.63974797016,1536.66041446095,1286.61908147938,250.041332981561,9.15160349854227,34.6938775510204,2.57,7.71,24.4897959183673
"P1.2",37,0,6.85,6.85,0.01,1643.84627837178,1575.82271744489,1711.86983929867,-136.047121853778,10.8002915451895,0,1.7125,5.1375,0
"P2",5,0,11.09,11.09,0.00999999999999979,1405.17363979135,1312.35595559107,1497.99132399163,-185.635368400563,16.1315315315315,67.8378378378378,2.7725,8.3175,49.2792792792793
"P2",6,0,10.08,10.08,0.00999999999999979,1740.94125379041,1452.62314688802,2029.25936069281,-576.636213804788,9.83349851337958,31.615460852329,2.52,7.56,24.380574826561
"P2",7,0,7.83,7.83,0.00999999999999979,1595.44688880358,1581.14410540118,1609.74967220598,-28.6055668048017,13.780612244898,54.5918367346939,1.9575,5.8725,45.6632653061224
"P2",8,0,9.31,9.31,0.00999999999999979,1477.86678328782,1468.9159369657,1486.81762960994,-17.9016926442426,14.618025751073,58.2618025751073,2.3275,6.9825,47.8540772532189
"P2",9,0,6.21,6.21,0.01,1577.9260732218,1572.10118116533,1583.75096527828,-11.6497841129504,14.2974276527331,57.0739549839228,1.5525,4.6575,49.8392282958199
"P2",10,0,8.36,8.36,0.00999999999999979,1680.6875510109,1474.80539928696,1886.56970273484,-411.764303447882,10.4384707287933,42.7718040621266,2.09,6.27,33.6917562724014
"P2",11,0,11.62,11.62,0.00999999999999979,1605.76551461379,1692.29642166081,1519.23460756678,173.06181409403,11.4316423043852,43.8521066208083,2.905,8.715,36.1134995700774
"P2",12,0,6.52,6.52,0.01,1586.38950533338,1473.570795367,1699.20821529976,-225.637419932761,11.114854517611,41.5007656967841,1.63,4.89,38.8973966309342
"P2",13,0,5.66,5.66,0.01,1629.10946770166,1576.26736783326,1681.95156757005,-105.684199736789,12.7848324514991,56.2610229276896,1.415,4.245,49.0299823633157
"P2",14,0,7.8,7.8,0.00999999999999979,1502.11057931047,1603.50888179954,1400.7122768214,202.796604978148,14.0192061459667,44.0460947503201,1.95,5.85,34.4430217669654
"P2",15,0,4.39,4.39,0.01,1579.4529700195,1616.96095889626,1541.94498114274,75.0159777535162,14.6954545454545,56.1363636363636,1.0975,3.2925,48.1818181818182
"P2",16,0,4.82,4.82,0.01,1597.88839851035,1610.26013770099,1585.5166593197,24.7434783812913,13.2650103519669,49.4824016563147,1.205,3.615,44.7204968944099
"P2",17,0,10.32,10.32,0.00999999999999979,1419.65820099947,1488.14375742376,1351.17264457518,136.971112848575,15.2604065827686,68.8286544046467,2.58,7.74,50.0484027105518
"P2",18,0,4.32,4.32,0.01,1487.03520667964,1543.35838582643,1430.71202753285,112.646358293582,14.2332563510393,56.35103926097,1.08,3.24,47.1131639722864
"P2",19,0,5.39,5.39,0.01,1537.7491556296,1600.29025033798,1475.20806092122,125.082189416762,13.9833333333333,51.8518518518518,1.3475,4.0425,44.0740740740741
"P2",20,0,7.86,7.86,0.00999999999999979,1455.33080530101,1478.41905415014,1432.24255645188,46.176497698261,14.9224904701398,60.4828462515883,1.965,5.895,48.7928843710292
"P2",21,0,5.99,5.99,0.01,1569.79706755524,1574.7707499406,1564.82338516988,9.94736477072144,10.79,0,1.4975,4.4925,0
"P2",22,0,6.23,6.23,0.01,1592.07430733786,1592.18056889091,1591.96804578481,0.212523106098901,13.1955128205128,45.9935897435897,1.5575,4.6725,45.6730769230769
"P2",23,0,12.16,12.16,0.00999999999999979,1417.92371132342,1539.7225077485,1296.12491489833,243.597592850168,14.6754313886606,56.0394412489729,3.04,9.12,39.7699260476582
"P2",24,0,5.96,5.96,0.01,1727.65589832712,1649.52322447238,1805.78857218187,-156.265347709483,11.142378559464,36.3484087102178,1.49,4.47,35.3433835845896
"P2",25,0,5.28,5.28,0.01,1586.80438478432,1541.98602550159,1631.62274406705,-89.6367185654541,12.9621928166352,50.4725897920605,1.32,3.96,47.4480151228733
"P2",26,0,9.47,9.47,0.00999999999999979,1454.3138680179,1521.98637971026,1386.64135632554,135.345023384715,12.3270042194093,42.0886075949367,2.3675,7.1025,35.5485232067511
