"Frame","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z"
31,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.66206,923.59198,-1469.61951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-349.27539,822.03778,-1422.81689,114.26838,712.99921,-1344.56689,NA,NA,NA,-67.07366,830.77637,-1363.67737,-36.15923,383.24756,-1429.5575,NA,NA,NA,NA,NA,NA,-483.93805,95.10741,-1351.60413,NA,NA,NA,-413.86887,428.93051,-1376.78772
32,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.71582,923.62231,-1466.75842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-352.56113,821.61707,-1419.0072,110.88636,713.10938,-1338.01575,NA,NA,NA,-68.81219,828.60229,-1364.91821,-39.01507,382.11945,-1425.245,NA,NA,NA,NA,NA,NA,-493.17255,99.02544,-1341.83069,NA,NA,NA,-419.09747,429.6051,-1370.21948
33,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.62267,922.85657,-1460.40747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-355.56183,819.61401,-1415.56812,108.37039,713.3186,-1333.18738,NA,NA,NA,-72.19289,826.41284,-1363.69849,-40.47756,382.2915,-1424.21521,NA,NA,NA,NA,NA,NA,-502.45114,100.18286,-1334.07471,NA,NA,NA,-423.23187,428.14285,-1364.22815
34,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.54008,922.62573,-1452.33081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-360.10797,818.54883,-1409.91968,104.96896,713.48602,-1325.42651,NA,NA,NA,-75.34521,826.75311,-1356.19031,-43.69711,382.07809,-1421.72717,NA,NA,NA,NA,NA,NA,-510.72797,102.39384,-1326.54272,NA,NA,NA,-431.31668,426.8916,-1363.50708
35,0.34,NA,NA,NA,12.60356,1206.3501,-1414.40918,NA,NA,NA,NA,NA,NA,96.10808,922.49554,-1452.24072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-363.40109,816.79803,-1405.61487,102.03332,713.90051,-1320.43896,NA,NA,NA,-78.03256,827.60388,-1349.12939,-45.37381,379.76132,-1418.39124,NA,NA,NA,NA,NA,NA,-519.18634,106.56108,-1315.44751,NA,NA,NA,-435.64932,426.21609,-1360.12549
36,0.35,NA,NA,NA,8.22451,1206.60547,-1412.23425,NA,NA,NA,NA,NA,NA,91.79846,922.47491,-1443.68372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-367.12915,816.01923,-1401.55493,99.25944,714.03156,-1314.75842,NA,NA,NA,-80.65012,825.06879,-1344.86267,-48.65565,379.35553,-1414.15552,NA,NA,NA,NA,NA,NA,-527.08777,108.40253,-1308.5072,NA,NA,NA,-440.85843,425.81592,-1355.7699
37,0.36,NA,NA,NA,3.39188,1206.06714,-1408.29089,NA,NA,NA,NA,NA,NA,88.45226,921.56598,-1438.02966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-371.94281,814.03656,-1396.57922,94.94382,713.89697,-1306.93921,NA,NA,NA,-85.69099,825.06396,-1339.53174,-50.47335,378.38217,-1412.50403,NA,NA,NA,NA,NA,NA,-534.4519,107.61225,-1302.83679,NA,NA,NA,-446.72086,425.27905,-1348.62683
38,0.37,NA,NA,NA,-1.52025,1204.75305,-1402.33093,NA,NA,NA,NA,NA,NA,85.70168,922.01788,-1436.80676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-375.92648,813.04993,-1392.49158,92.2101,714.71075,-1301.93225,NA,NA,NA,-90.39681,823.6687,-1335.89319,-53.01434,377.8714,-1408.22351,NA,NA,NA,NA,NA,NA,-540.37878,109.39738,-1297.0968,NA,NA,NA,-452.05219,424.13913,-1345.99963
39,0.38,NA,NA,NA,-6.49193,1204.54175,-1399.16626,NA,NA,NA,NA,NA,NA,80.1699,921.26385,-1429.20081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-379.53784,810.80737,-1388.49597,88.68973,713.75684,-1297.08228,NA,NA,NA,-92.50219,822.46509,-1332.90027,-55.54212,376.76718,-1404.8241,NA,NA,NA,NA,NA,NA,-546.86877,109.24938,-1291.2207,NA,NA,NA,-456.52582,423.89734,-1336.32751
40,0.39,NA,NA,NA,-11.54519,1203.7135,-1394.60083,NA,NA,NA,NA,NA,NA,75.81477,920.14789,-1422.29773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-384.46442,810.50311,-1383.77979,85.10071,714.05078,-1290.52454,NA,NA,NA,-97.59322,821.66504,-1325.10693,-57.34035,376.1377,-1402.91321,NA,NA,NA,NA,NA,NA,-552.11078,108.43681,-1285.44336,NA,NA,NA,-462.51974,422.22736,-1334.94177
41,0.4,NA,NA,NA,-16.7979,1202.87622,-1390.0481,NA,NA,NA,NA,NA,NA,72.06426,920.63397,-1421.18933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-390.40277,808.05707,-1377.43567,81.81252,714.17969,-1285.14526,NA,NA,NA,-103.69492,820.74146,-1323.63977,-60.31304,374.89786,-1397.84399,NA,NA,NA,NA,NA,NA,-557.3252,108.11189,-1279.29651,NA,NA,NA,-467.99155,420.00854,-1327.69226
42,0.41,NA,NA,NA,-22.70862,1202.83228,-1387.35876,NA,NA,NA,NA,NA,NA,66.63863,918.62628,-1414.72449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-395.09897,807.24341,-1372.51074,77.62098,713.79114,-1279.08655,NA,NA,NA,-108.33738,823.13043,-1311.96777,-63.01593,374.65414,-1394.02441,NA,NA,NA,NA,NA,NA,-562.45563,106.00339,-1276.30688,NA,NA,NA,-473.79019,420.15561,-1321.99878
43,0.42,NA,NA,NA,-28.21512,1200.47424,-1379.30469,NA,NA,NA,NA,NA,NA,61.84383,918.73987,-1411.91113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-400.362,805.27881,-1367.56555,73.88155,713.81348,-1274.19812,NA,NA,NA,-114.39261,819.44855,-1311.29797,-66.08067,373.5054,-1390.23279,NA,NA,NA,NA,NA,NA,-565.28857,102.22173,-1273.24487,NA,NA,NA,-478.20459,417.60669,-1314.84814
44,0.43,NA,NA,NA,-34.45567,1200.40002,-1376.7041,NA,NA,NA,NA,NA,NA,55.91508,917.62659,-1406.39099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-406.05362,803.841,-1362.01318,69.41171,713.16901,-1268.79187,NA,NA,NA,-119.98692,821.00775,-1300.60791,-69.72868,373.12616,-1385.79028,NA,NA,NA,NA,NA,NA,-568.20477,97.54466,-1270.31812,NA,NA,NA,-483.41025,417.23065,-1304.8313
45,0.44,NA,NA,NA,-40.42782,1198.82959,-1370.31067,NA,NA,NA,-330.08771,1320.58984,-1183.71021,49.73143,916.78693,-1400.94556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-412.10071,802.63483,-1355.94446,65.57664,712.55194,-1263.24243,NA,NA,NA,-127.05157,819.21405,-1297.4054,-73.79293,373.29733,-1380.08557,NA,NA,NA,NA,NA,NA,-571.82758,96.68131,-1266.29224,-12.02539,62.4985,-1595.57703,-489.5885,414.7832,-1303.48096
46,0.45,NA,NA,NA,-47.69318,1198.21582,-1366.21008,NA,NA,NA,-335.73068,1320.67334,-1179.32715,43.55207,915.66724,-1396.19177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-418.34372,800.21771,-1349.64185,61.27742,712.40973,-1257.16223,NA,NA,NA,-132.66238,818.51001,-1291.92944,-78.00272,373.31454,-1376.10071,NA,NA,NA,NA,NA,NA,-574.05408,90.53492,-1267.573,-12.08539,63.44624,-1593.51672,-494.99005,411.8327,-1298.6864
