"Group","Participant","TrialNum","File","Reason"
"G4","P1",27,"P1_boxCal27.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G4","P2",13,"P2_Trial13.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G4","P2",14,"P2_Trial14.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G4","P2",15,"P2_Trial15.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G5","P1",28,"P1_boxCal28.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G5","P1",29,"P1_boxCal29.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G5","P1",30,"P1_boxCal30.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G5","P2",31,"P2_Trial31.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G5","P2",32,"P2_Trial32.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G5","P2",33,"P2_Trial33.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
