Participant,TrialNum,Marker,ConditionKey,Mode,Composition,Collider,ConditionID,min_A,min_B,min_AB,min_AminusB,TrialInBlock
P1.2,16,S2,c6,AR,2R0V,2,6,652.4571137022855,931.5656323232291,792.0113730127573,-279.10851862094364,1
P1.2,17,C7,c6,AR,2R0V,2,6,1036.8444924467094,809.8465144957532,923.3455034712313,226.99797795095617,2
P1.2,17,S2,c6,AR,2R0V,2,6,690.4608375067579,625.0550930869296,657.7579652968437,65.40574441982835,2
P1.2,18,C7,c6,AR,2R0V,2,6,1032.6452272127433,1195.9485801317235,1114.2969036722334,-163.30335291898018,3
P1.2,18,S2,c6,AR,2R0V,2,6,672.6303154703569,947.4812413402386,810.0557784052978,-274.85092586988173,3
P1.2,19,C7,c7,AR,2R0V,1,7,1029.628627695416,1153.1417207953577,1091.385174245387,-123.51309309994167,1
P1.2,19,S2,c7,AR,2R0V,1,7,659.6069474804633,892.2317907288513,775.9193691046573,-232.62484324838795,1
P1.2,20,C7,c7,AR,2R0V,1,7,1037.8800797929298,1066.1330250585497,1052.0065524257398,-28.25294526561993,2
P1.2,20,S2,c7,AR,2R0V,1,7,685.2002691353691,631.4076082805855,658.3039387079773,53.79266085478366,2
P1.2,21,C7,c7,AR,2R0V,1,7,1010.0507966640313,1213.4858678386438,1111.7683322513376,-203.43507117461252,3
P1.2,21,S2,c7,AR,2R0V,1,7,642.4407862989525,938.7133830918764,790.5770846954144,-296.2725967929239,3
P1.2,23,C7,c8,AR,1R1V,1,8,1013.1702315447278,1188.5276172292206,1100.8489243869742,-175.35738568449278,1
P1.2,23,S2,c8,AR,1R1V,1,8,657.7073847145273,901.1417194986801,779.4245521066036,-243.43433478415284,1
P1.2,24,C7,c8,AR,1R1V,1,8,1012.8364826118462,1176.2922925025055,1094.564387557176,-163.45580989065922,2
P1.2,24,S2,c8,AR,1R1V,1,8,511.31400459905404,876.9685715933483,694.1412880962012,-365.65456699429427,2
P1.2,25,C7,c8,AR,1R1V,1,8,1039.8861096573996,1197.671293070629,1118.7787013640143,-157.78518341322933,3
P1.2,25,S2,c8,AR,1R1V,1,8,677.3679244511152,911.7380101204484,794.5529672857817,-234.3700856693332,3
P1.2,26,C7,c9,AR,0R2V,2,9,1020.2176214372405,1192.5683796403694,1106.393000538805,-172.35075820312886,1
P1.2,26,S2,c9,AR,0R2V,2,9,653.4416088458794,941.2519815360439,797.3467951909616,-287.8103726901645,1
P1.2,27,C7,c9,AR,0R2V,2,9,1048.0824454182941,1016.233660624487,1032.1580530213905,31.848784793807113,2
P1.2,27,S2,c9,AR,0R2V,2,9,701.6285445443259,642.3703419063944,671.9994432253602,59.258202637931504,2
P1.2,28,C7,c9,AR,0R2V,2,9,999.6201721777483,1240.601512373817,1120.1108422757827,-240.9813401960688,3
P1.2,28,S2,c9,AR,0R2V,2,9,628.7161581859008,1009.7023390305773,819.209248608239,-380.9861808446765,3
P1.2,29,C7,c10,VR,0R2V,2,10,1015.5487017540295,1214.9792014433713,1115.2639515987003,-199.4304996893418,1
P1.2,29,S2,c10,VR,0R2V,2,10,648.2433847341629,944.3659765810291,796.304680657596,-296.12259184686627,1
P1.2,30,C7,c10,VR,0R2V,2,10,1028.615467343517,926.3746826544151,977.495074998966,102.24078468910182,2
P1.2,30,S2,c10,VR,0R2V,2,10,677.9699759796385,714.512310627051,696.2411433033448,-36.54233464741242,2
P1.2,31,C7,c10,VR,0R2V,2,10,1019.8713510558782,1160.0423537747874,1089.9568524153328,-140.17100271890922,3
P1.2,31,S2,c10,VR,0R2V,2,10,653.3574093942133,883.0106266075202,768.1840180008667,-229.6532172133069,3
P1.2,32,C7,c11,VR,0R2V,0,11,1006.9127976025425,1196.205256588729,1101.5590270956359,-189.2924589861866,1
P1.2,32,S2,c11,VR,0R2V,0,11,633.3704977566173,937.8182646014114,785.5943811790144,-304.44776684479416,1
P1.2,33,C7,c11,VR,0R2V,0,11,1014.283439586063,1016.8067111395197,1015.5450753627913,-2.523271553456766,2
P1.2,33,S2,c11,VR,0R2V,0,11,666.6480818885628,643.9537045500581,655.3008932193104,22.69437733850475,2
P1.2,34,C7,c11,VR,0R2V,0,11,1012.9501998105128,1176.094119559676,1094.5221596850945,-163.14391974916327,3
P1.2,34,S2,c11,VR,0R2V,0,11,665.6568918370898,908.9146342883702,787.28576306273,-243.25774245128036,3
