"Frame#","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z","NA_C60","Participant","TrialNum","VisibleMarkers"
29,0.28,"","","","","","","","","","","","","","","","-13.38186","1404.47852","2526.50757","","","","","","","","","","68.12126","1068.69385","2603.18555","","","","","","","","","","-192.95438","1006.96539","2642.14600","","","","","","","41.00541","536.35962","2392.21265","","","","32.50548","214.03351","2502.73413",NA,"P3",18,5
30,0.29,"","","","","","","","","","","","","","","","-12.20182","1403.75952","2524.17212","","","","","","","-423.17929","1051.06543","2458.32666","68.67648","1068.03943","2601.13672","","","","","","","","","","-192.28081","1006.63458","2638.77515","","","","","","","43.02958","537.08459","2389.45361","","","","36.25083","212.22449","2491.81421",NA,"P3",18,6
31,0.3,"","","","","","","","","","","","","","","","-10.66113","1402.78870","2520.63135","","","","","","","-422.12012","1050.93384","2454.10645","69.48399","1067.06506","2598.81519","","","","","","","","","","-191.44901","1006.30078","2635.89600","","","","","","","44.84566","537.12469","2385.51050","","","","41.12023","210.15822","2482.51489",NA,"P3",18,6
32,0.31,"","","","","","","","","","","","","","","","-9.30782","1402.37451","2517.41626","","","","","","","-420.99588","1050.44177","2449.46240","70.37666","1066.40833","2596.48315","","","","","","","","","","-190.51381","1005.82983","2633.11328","","","","","","","46.51778","537.30804","2383.35229","","","","45.98615","208.17044","2471.75513",NA,"P3",18,6
33,0.32,"","","","","","","","","","","","","","","","-7.95338","1401.36987","2514.78418","","","","-190.27419","1453.03284","2515.88135","-419.38998","1049.98047","2444.28711","71.53917","1065.83691","2593.57764","","","","","","","","","","-189.67387","1005.47028","2629.82202","","","","","","","48.70558","537.46704","2380.09351","","","","50.19413","206.44841","2459.63354",NA,"P3",18,7
34,0.33,"","","","","","","","","","","","","","","","-6.63577","1400.66650","2511.88525","","","","-188.60529","1452.24817","2512.25220","-417.73959","1049.36450","2439.17749","73.09694","1064.68408","2590.58203","","","","","","","","","","-188.59108","1004.62689","2626.14990","","","","","","","50.32360","536.41803","2377.43384","","","","55.36095","203.05803","2447.04297",NA,"P3",18,7
35,0.34,"","","","","","","","","","","","","","","","-4.84865","1399.79797","2508.55029","","","","-186.77470","1451.14221","2508.64160","-416.62823","1049.02747","2434.81226","73.78253","1064.06506","2588.22998","","","","","","","","","","-187.49313","1003.69104","2622.27637","","","","","","","52.16264","536.22150","2373.62207","","","","60.82541","201.23618","2436.60669",NA,"P3",18,7
36,0.35,"","","","","","","","","","","","","","","","-3.10820","1398.87012","2505.62817","","","","-184.99054","1450.58411","2505.23462","-414.61646","1048.33960","2429.72119","75.21680","1063.14795","2584.70947","","","","","","","","","","-186.13071","1003.00830","2618.79370","","","","","","","53.87721","535.58417","2371.95581","","","","66.21886","199.31866","2425.25391",NA,"P3",18,7
37,0.36,"","","","","","","","","","","","","","","","-1.03787","1397.75269","2502.25464","","","","-183.05276","1449.90710","2501.53442","-412.79459","1047.78381","2424.24243","76.88903","1061.71265","2581.27148","","","","","","","","","","-184.96989","1002.64075","2615.67896","","","","","","","55.54586","534.40570","2369.18701","","","","71.38429","197.28590","2412.83765",NA,"P3",18,7
38,0.37,"","","","-151.82695","1660.41833","2472.08765","","","","","","","","","","1.11684","1396.90771","2498.67920","","","","-181.20610","1449.06104","2498.08716","-411.23447","1047.00415","2419.38843","78.26424","1060.67261","2578.22681","","","","","","","","","","-183.38187","1001.75421","2611.18164","","","","","","","57.32533","534.32074","2366.37866","","","","76.80537","195.92929","2401.24048",NA,"P3",18,8
39,0.38,"","","","-149.79588","1659.78076","2468.66187","","","","","","","","","","2.89073","1396.00098","2495.81592","","","","-178.80766","1447.81873","2493.73120","-409.08377","1046.60242","2413.95508","80.10410","1059.78748","2574.66382","","","","","","","","","","-181.70410","1000.05164","2606.65552","","","","","","","58.92932","533.15045","2363.64233","","","","82.43813","193.60056","2388.81567",NA,"P3",18,8
40,0.39,"","","","-147.29019","1659.33838","2464.46362","","","","","","","","","","5.27595","1394.81616","2492.19702","","","","-177.10492","1447.07129","2491.04419","-407.39832","1045.79407","2408.96655","82.13010","1058.63062","2570.87183","","","","","","","","","","-180.03670","999.07666","2602.39136","","","","","","","60.52983","531.55249","2361.06348","","","","88.65647","192.97220","2377.37622",NA,"P3",18,8
41,0.4,"","","","-144.62010","1658.82996","2460.49609","","","","","","","","","","7.41527","1394.08179","2488.78809","","","","-174.65883","1446.24963","2487.14063","-405.12939","1045.10632","2403.48755","84.10806","1057.64087","2567.10889","","","","","","","","","","-177.94717","998.19708","2598.31543","","","","","","","62.28666","530.01959","2358.19653","","","","94.01680","192.19786","2366.54688",NA,"P3",18,8
42,0.41,"","","","-141.63528","1658.21631","2455.53223","","","","","","","","","","10.10093","1392.93359","2484.46069","","","","-172.26180","1445.14246","2483.76221","-403.21545","1044.12720","2397.90918","86.30941","1056.16541","2562.84009","","","","","","","","","","-176.12993","997.79034","2594.55078","","","","","","","63.84090","528.63995","2355.23853","","","","99.49116","191.24878","2354.19092",NA,"P3",18,8
43,0.42,"","","","-138.86801","1657.55457","2450.85278","","","","","","","","","","12.31092","1391.63037","2481.11279","","","","-169.65187","1443.88745","2480.10986","-400.71713","1043.67285","2393.30688","88.63044","1055.14429","2558.47095","","","","","","","","","","-173.59698","995.96124","2589.61597","","","","","","","65.78626","527.56738","2352.56714","","","","104.31867","190.26927","2342.22778",NA,"P3",18,8
44,0.43,"","","","-135.92625","1657.01025","2445.98413","","","","","","","","","","14.98669","1390.52100","2476.76514","","","","-167.27716","1443.14880","2476.74731","-398.77496","1042.76196","2387.59912","91.08260","1053.58447","2554.37793","","","","","","","","","","-171.34760","994.59497","2584.66870","","","","","","","67.77147","526.01453","2349.83838","","","","109.37198","190.25101","2331.68652",NA,"P3",18,8
45,0.44,"","","","-132.81108","1656.67822","2441.50635","","","","","","","","","","17.30373","1389.48975","2472.78394","","","","-164.53468","1442.04089","2472.95996","-396.12302","1041.77869","2382.57983","93.55168","1053.00793","2549.73315","","","","","","","","","","-168.95702","993.31915","2579.90796","","","","","","","69.63831","524.17126","2346.51514","","","","113.31336","189.54199","2320.35913",NA,"P3",18,8
