"Frame","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z"
22,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-182.79788,1022.61121,-1205.09229,-404.14047,879.28156,-1423.77917,-561.5412,961.10095,-1208.58179,NA,NA,NA,-438.75128,970.13568,-1157.00635,NA,NA,NA,NA,NA,NA,-199.41177,386.08606,-1301.12122,NA,NA,NA,-111.03029,59.77,-1431.80762,-165.77341,779.14313,-1182.30396
23,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-189.69685,1021.98773,-1198.48486,-413.52985,879.13129,-1416.70203,-570.22101,963.54291,-1200.26563,NA,NA,NA,-447.86823,969.98798,-1147.76404,NA,NA,NA,NA,NA,NA,-208.60596,385.87033,-1295.70837,NA,NA,NA,-115.06702,62.26123,-1428.64783,-171.90144,779.30859,-1178.62646
24,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-197.64665,1021.39404,-1190.71301,-422.51563,879.60144,-1409.77368,-580.27301,964.40448,-1189.53467,NA,NA,NA,-456.74106,969.22827,-1141.29199,NA,NA,NA,NA,NA,NA,-218.62479,385.0864,-1289.74658,NA,NA,NA,-119.30004,65.46793,-1423.43176,-176.56689,778.43884,-1174.05103
25,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-203.70685,1021.99286,-1185.62061,-431.25458,880.6991,-1403.60437,-588.24414,962.46075,-1188.49084,-717.68347,789.65417,-1386.44165,-465.10608,968.67242,-1134.85583,NA,NA,NA,NA,NA,NA,-230.34712,382.45221,-1280.96936,NA,NA,NA,-123.21309,68.94437,-1420.37012,-183.19516,777.77148,-1167.10876
26,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-211.34114,1022.04291,-1180.62854,-439.80072,881.72241,-1396.9884,-597.65796,964.59113,-1180.57495,-728.65942,791.59283,-1377.74353,-474.38412,969.63403,-1128.72375,NA,NA,NA,NA,NA,NA,-239.13524,382.74368,-1276.28333,NA,NA,NA,-128.59337,71.58264,-1415.26758,-188.82027,779.20691,-1164.50415
27,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-643.80389,1376.19067,-1279.9248,-507.30859,1262.51794,-1173.83728,NA,NA,NA,-220.1893,1022.24487,-1172.78638,-447.72876,883.37958,-1390.87976,-605.13696,964.44141,-1178.53662,-739.7868,794.0509,-1369.00842,-482.35168,969.80725,-1121.93677,NA,NA,NA,NA,NA,NA,-250.59674,382.90942,-1268.52344,NA,NA,NA,-134.98056,74.71832,-1409.12329,-195.22095,780.49469,-1159.3429
28,0.27,-334.51047,1379.46545,-1181.49744,-825.0733,78.55784,-1220.42859,NA,NA,NA,NA,NA,NA,-596.84723,1516.57837,-1099.22803,-651.56024,1377.38965,-1269.89539,-514.60486,1262.91272,-1166.58203,NA,NA,NA,-226.48122,1023.39276,-1167.98267,-455.45621,885.02423,-1384.72766,-613.82294,967.69098,-1167.64392,-750.94373,797.08563,-1360.38696,-490.74759,971.31085,-1115.43176,NA,NA,NA,NA,NA,NA,-261.13293,385.17709,-1258.4762,NA,NA,NA,-140.5186,78.46667,-1405.42639,-201.64201,779.63593,-1153.15845
29,0.28,-713.69257,501.15436,-1228.02722,-342.28012,1380.88037,-1174.49414,NA,NA,NA,NA,NA,NA,-603.3363,1517.56946,-1091.10315,-658.78632,1380.45154,-1264.78955,-523.20502,1265.51721,-1160.30359,NA,NA,NA,-235.22577,1025.05383,-1161.98889,-462.87119,886.40698,-1378.0658,-620.53888,969.07159,-1162.00659,-762.08765,800.34332,-1351.50195,-497.5166,974.07306,-1108.0824,NA,NA,NA,NA,NA,NA,-272.35281,385.55356,-1251.41235,NA,NA,NA,-147.8092,83.21156,-1400.76709,-207.83797,781.54468,-1151.28625
30,0.29,-721.37598,502.58157,-1222.46033,-827.38306,77.34956,-1209.37939,NA,NA,NA,NA,NA,NA,-609.68243,1518.63416,-1082.52979,-666.73242,1382.71997,-1256.40112,-530.94775,1266.75024,-1153.43213,NA,NA,NA,-242.98204,1026.76501,-1157.30005,-470.18698,887.99255,-1371.43506,-627.84509,971.79651,-1157.19177,-774.85822,801.24719,-1336.8042,-504.77731,976.39374,-1104.75989,NA,NA,NA,NA,NA,NA,-284.30734,384.86996,-1246.37817,NA,NA,NA,-155.19749,88.11098,-1394.40613,-217.07144,783.612,-1142.55212
31,0.3,-694.83582,1280.41553,-1812.12195,-827.78821,76.76487,-1203.48389,NA,NA,NA,NA,NA,NA,-615.97479,1519.90295,-1074.2876,-673.81366,1385.77502,-1251.14038,-538.67212,1269.24536,-1146.5116,NA,NA,NA,-250.62479,1028.95288,-1150.65015,-477.53244,890.01501,-1366.3103,-634.28577,974.80206,-1147.66284,-786.19867,803.53912,-1325.70288,-511.28879,978.84277,-1100.76282,NA,NA,NA,NA,NA,NA,-295.49255,387.15891,-1235.10669,NA,NA,NA,-164.58725,93.58635,-1387.27148,-223.54146,785.68591,-1140.96667
