Participant,TrialNum,Marker,ConditionKey,Mode,Composition,Collider,ConditionID,mean_A,mean_B,mean_AB,mean_AminusB,TrialInBlock
P1.2,9,C7,c3,AR,1R1V,0,3,1577.0597046630912,1553.399290524774,1565.2294975939326,23.660414138317265,3
P1.2,9,S2,c3,AR,1R1V,0,3,1196.2296960215779,1367.4463260945427,1281.8380110580601,-171.2166300729648,3
P1.2,10,C7,c4,AR,1R1V,2,4,1476.2128752339527,1554.2816373078292,1515.2472562708908,-78.06876207387654,1
P1.2,10,S2,c4,AR,1R1V,2,4,1199.9821516597071,1410.7634922376126,1305.3728219486597,-210.78134057790544,1
P1.2,11,C7,c4,AR,1R1V,2,4,1312.2704845983083,1639.618883614124,1475.944684106216,-327.34839901581563,2
P1.2,11,S2,c4,AR,1R1V,2,4,1074.7220580189692,1336.098085892855,1205.410071955912,-261.37602787388573,2
P1.2,12,C7,c4,AR,1R1V,2,4,1367.562438717951,1571.3036661572528,1469.4330524376019,-203.74122743930184,3
P1.2,12,S2,c4,AR,1R1V,2,4,1177.7327546888264,1412.995939012285,1295.3643468505556,-235.26318432345852,3
P1.2,13,C7,c5,AR,0R2V,0,5,1346.3407991908016,1585.5350507137955,1465.9379249522985,-239.1942515229939,1
P1.2,13,S2,c5,AR,0R2V,0,5,1300.6599951833882,1685.5741045101204,1493.1170498467543,-384.91410932673216,1
P1.2,14,C7,c5,AR,0R2V,0,5,1298.4099971978465,1598.579710278274,1448.49485373806,-300.1697130804275,2
P1.2,14,S2,c5,AR,0R2V,0,5,1074.7906404886894,1341.9305389498948,1208.360589719292,-267.13989846120535,2
P1.2,15,C7,c5,AR,0R2V,0,5,1352.00068457699,1586.7302719916047,1469.3654782842973,-234.7295874146148,3
P1.2,15,S2,c5,AR,0R2V,0,5,1311.4673270541464,1627.1217504595236,1469.294538756835,-315.6544234053772,3
P1.2,16,C7,c6,AR,2R0V,2,6,1364.6695650942102,1567.9812117582317,1466.3253884262208,-203.3116466640215,1
P1.2,16,S2,c6,AR,2R0V,2,6,1321.4758202367289,1331.5642312957764,1326.5200257662527,-10.08841105904753,1
P1.2,17,C7,c6,AR,2R0V,2,6,1465.78464655804,1440.973426451753,1453.3790365048967,24.81122010628701,2
P1.2,17,S2,c6,AR,2R0V,2,6,1124.7198591811666,1295.1898079746336,1209.9548335779,-170.46994879346698,2
P1.2,18,C7,c6,AR,2R0V,2,6,1376.8341992495077,1609.753388383117,1493.2937938163122,-232.91918913360928,3
P1.2,18,S2,c6,AR,2R0V,2,6,1284.0376587119854,1627.8621744000363,1455.949916556011,-343.82451568805095,3
P1.2,19,C7,c7,AR,2R0V,1,7,1611.1043100150303,1614.0653680540297,1612.58483903453,-2.961058038999454,1
P1.2,19,S2,c7,AR,2R0V,1,7,1211.825424277934,1630.3879781397968,1421.1067012088654,-418.56255386186285,1
P1.2,20,C7,c7,AR,2R0V,1,7,1249.8040764291925,1744.6854444649896,1497.244760447091,-494.8813680357971,2
P1.2,20,S2,c7,AR,2R0V,1,7,1071.7852930679994,1341.5446794916727,1206.664986279836,-269.7593864236733,2
P1.2,21,C7,c7,AR,2R0V,1,7,1370.123005986089,1634.2704465945762,1502.1967262903327,-264.14744060848716,3
P1.2,21,S2,c7,AR,2R0V,1,7,1286.9217389728392,1439.2203215229051,1363.0710302478722,-152.29858255006593,3
P1.2,23,C7,c8,AR,1R1V,1,8,1359.8156464093363,1590.2883810660453,1475.0520137376907,-230.472734656709,1
P1.2,23,S2,c8,AR,1R1V,1,8,1272.911209290778,1522.5525502230598,1397.731879756919,-249.64134093228176,1
P1.2,24,C7,c8,AR,1R1V,1,8,1417.4611030354824,1521.0167086517597,1469.238905843621,-103.55560561627726,2
P1.2,24,S2,c8,AR,1R1V,1,8,932.2434901284821,1433.991475841272,1183.117482984877,-501.74798571278984,2
P1.2,25,C7,c8,AR,1R1V,1,8,1356.4642825818846,1583.9794982396688,1470.2218904107767,-227.5152156577842,3
P1.2,25,S2,c8,AR,1R1V,1,8,1333.3643705718441,1491.9883574239857,1412.676363997915,-158.62398685214157,3
P1.2,26,C7,c9,AR,0R2V,2,9,1377.3976269319965,1626.5581063706402,1501.9778666513184,-249.16047943864373,1
P1.2,26,S2,c9,AR,0R2V,2,9,1310.9080848903548,1522.1566106385214,1416.532347764438,-211.24852574816668,1
P1.2,27,C7,c9,AR,0R2V,2,9,1311.7445012812132,1627.9959246661408,1469.870212973677,-316.25142338492765,2
P1.2,27,S2,c9,AR,0R2V,2,9,1089.786507581793,1382.6407983974173,1236.2136529896052,-292.85429081562415,2
P1.2,28,C7,c9,AR,0R2V,2,9,1374.4319456928977,1612.1100959782411,1493.2710208355693,-237.67815028534346,3
P1.2,28,S2,c9,AR,0R2V,2,9,1273.0734934394752,1510.2516835338722,1391.6625884866737,-237.178190094397,3
P1.2,29,C7,c10,VR,0R2V,2,10,1354.350426327696,1595.3162986116893,1474.8333624696925,-240.96587228399335,1
P1.2,29,S2,c10,VR,0R2V,2,10,1285.544578005972,1547.4493528635544,1416.4969654347633,-261.9047748575824,1
P1.2,30,C7,c10,VR,0R2V,2,10,1200.63461549717,1609.4539585657533,1405.0442870314616,-408.8193430685833,2
P1.2,30,S2,c10,VR,0R2V,2,10,1026.0765146007832,1110.8768549756164,1068.4766847881997,-84.80034037483324,2
P1.2,31,C7,c10,VR,0R2V,2,10,1348.306512380096,1600.5746023177294,1474.4405573489125,-252.26808993763348,3
P1.2,31,S2,c10,VR,0R2V,2,10,1210.2901221232091,1586.9538110806866,1398.6219666019479,-376.66368895747746,3
P1.2,32,C7,c11,VR,0R2V,0,11,1357.1109360475082,1620.2661416416247,1488.6885388445664,-263.1552055941165,1
P1.2,32,S2,c11,VR,0R2V,0,11,1296.8748287177496,1986.4925176457866,1641.683673181768,-689.6176889280371,1
P1.2,33,C7,c11,VR,0R2V,0,11,1227.8452111191336,1617.9636546932636,1422.9044329061985,-390.11844357412997,2
P1.2,33,S2,c11,VR,0R2V,0,11,1047.6863264190663,1361.313573480494,1204.49994994978,-313.6272470614276,2
P1.2,34,C7,c11,VR,0R2V,0,11,1517.4729495517536,1565.711254751452,1541.5921021516028,-48.238305199698516,3
P1.2,34,S2,c11,VR,0R2V,0,11,1201.0024284138688,1597.1766006696837,1399.0895145417762,-396.17417225581494,3
P1.2,35,C7,c12,VR,0R2V,1,12,1346.6037855660684,1599.3414788580965,1472.9726322120823,-252.7376932920281,1
P1.2,35,S2,c12,VR,0R2V,1,12,1373.8797981485213,1564.8576126297237,1469.3687053891226,-190.97781448120236,1
P1.2,36,C7,c12,VR,0R2V,1,12,1290.7566372147928,1506.1897744774603,1398.4732058461266,-215.43313726266751,2
P1.2,36,S2,c12,VR,0R2V,1,12,1237.598960550337,1256.1906192325212,1246.8947898914291,-18.59165868218406,2
P1.2,37,C7,c12,VR,0R2V,1,12,2828.2301764506074,1387.4111398587083,2107.820658154658,1440.819036591899,3
P1.2,37,S2,c12,VR,0R2V,1,12,1204.2779171320738,1582.6922209341342,1393.485069033104,-378.41430380206043,3
P2,5,C7,c11,VR,0R2V,0,11,1686.758731023,1647.34049468865,1667.0496128558252,39.41823633435001,1
P2,5,S2,c11,VR,0R2V,0,11,1379.9276045460683,1464.5052112864598,1422.216407916264,-84.5776067403915,1
P2,6,C7,c11,VR,0R2V,0,11,1426.2168163330618,1749.8673726508007,1588.0420944919313,-323.65055631773885,2
