"Participant","TrialNum","ok","reason","n_rows","ConditionKey","TrialInBlock","ConditionID","ConditionLabel","Mode","Composition","Collider"
"P2",22,FALSE,"No BoxA/BoxB markers available; prop parse failed",624,"c6",3,6,"AR 2R0V + Collider2","AR","2R0V",2
"P2",23,FALSE,"No BoxA/BoxB markers available; prop parse failed",1217,"c2",1,2,"AR 2R0V + Collider0","AR","2R0V",0
"P2",24,FALSE,"No BoxA/BoxB markers available; prop parse failed",597,"c2",2,2,"AR 2R0V + Collider0","AR","2R0V",0
"P2",25,FALSE,"No BoxA/BoxB markers available; prop parse failed",529,"c2",3,2,"AR 2R0V + Collider0","AR","2R0V",0
"P2",26,FALSE,"No BoxA/BoxB markers available; prop parse failed",948,"c3",1,3,"AR 1R1V + Collider0","AR","1R1V",0
"P2",27,FALSE,"No BoxA/BoxB markers available; prop parse failed",501,"c3",2,3,"AR 1R1V + Collider0","AR","1R1V",0
"P2",28,FALSE,"No BoxA/BoxB markers available; prop parse failed",472,"c3",3,3,"AR 1R1V + Collider0","AR","1R1V",0
"P2",29,FALSE,"No BoxA/BoxB markers available; prop parse failed",762,"c9",1,9,"AR 0R2V + Collider2","AR","0R2V",2
"P2",30,FALSE,"No BoxA/BoxB markers available; prop parse failed",591,"c9",2,9,"AR 0R2V + Collider2","AR","0R2V",2
"P2",31,FALSE,"No BoxA/BoxB markers available; prop parse failed",812,"c9",3,9,"AR 0R2V + Collider2","AR","0R2V",2
"P2",32,FALSE,"No BoxA/BoxB markers available; prop parse failed",1499,"c5",1,5,"AR 0R2V + Collider0","AR","0R2V",0
"P2",33,FALSE,"No BoxA/BoxB markers available; prop parse failed",556,"c5",2,5,"AR 0R2V + Collider0","AR","0R2V",0
"P2",34,FALSE,"No BoxA/BoxB markers available; prop parse failed",663,"c5",3,5,"AR 0R2V + Collider0","AR","0R2V",0
"P2",35,FALSE,"No BoxA/BoxB markers available; prop parse failed",1148,"c7",1,7,"AR 2R0V + Collider1","AR","2R0V",1
"P2",36,FALSE,"No BoxA/BoxB markers available; prop parse failed",641,"c7",2,7,"AR 2R0V + Collider1","AR","2R0V",1
