Frame#,Time,Headset_Front,Headset_Front_X,Headset_Front_X_X,Headset_Back,Headset_Back_X,Headset_Back_X_X,Headset_Left,Headset_Left_X,Headset_Left_X_X,Headset_Right,Headset_Right_X,Headset_Right_X_X,Left_Shoulder,Left_Shoulder_X,Left_Shoulder_X_X,Right_Shoulder,Right_Shoulder_X,Right_Shoulder_X_X,Sternum,Sternum_X,Sternum_X_X,C7,C7_X,C7_X_X,Left Elbow,Left Elbow_X,Left Elbow_X_X,Right Elbow,Right Elbow_X,Right Elbow_X_X,Left Wrist,Left Wrist_X,Left Wrist_X_X,Right Wrist,Right Wrist_X,Right Wrist_X_X,Left ASIS,Left ASIS_X,Left ASIS_X_X,Right ASIS,Right ASIS_X,Right ASIS_X_X,S2,S2_X,S2_X_X,Left Knee,Left Knee_X,Left Knee_X_X,Right Knee,Right Knee_X,Right Knee_X_X,Left Ankle,Left Ankle_X,Left Ankle_X_X,Right Ankle,Right Ankle_X,Right Ankle_X_X,Right Ankle_X_X_X,Participant,TrialNum
NA,NA,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,NA,P5,35
33,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,-134.65714,1282.62122,1579.65881,,,,-201.53499,1259.64893,1334.48706,,,,-356.11829,980.83612,1664.90454,,,,,,,-265.69470,525.97156,1751.57507,,,,-265.34756,140.90190,1935.57117,NA,P5,35
34,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,-137.32651,1281.35962,1575.16101,,,,-203.32088,1258.42419,1330.28137,,,,-359.34720,979.86133,1661.11865,,,,,,,-268.93454,524.72729,1749.07166,,,,-266.32968,141.15152,1934.68506,NA,P5,35
35,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,-140.49771,1280.15039,1570.92834,,,,-205.01221,1258.98206,1326.59460,,,,-362.21082,978.43610,1656.69641,,,,,,,-272.20828,523.58765,1746.95715,,,,-266.96573,141.20772,1934.83936,NA,P5,35
36,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.83495,1279.59717,1566.46863,,,,-206.73911,1257.95190,1322.05200,,,,-366.04385,976.82831,1652.00085,,,,,,,-275.22186,522.04248,1743.61536,,,,-267.44104,141.45662,1934.87219,NA,P5,35
37,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,-145.62633,1278.73230,1562.68359,,,,-207.83263,1258.01721,1318.03540,,,,-369.38818,975.67401,1648.39539,,,,,,,-279.28586,521.48810,1740.08813,,,,-267.97928,141.18871,1934.64221,NA,P5,35
38,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,-148.54054,1277.19128,1558.76880,,,,-209.14903,1257.09656,1313.98267,,,,-372.72684,974.31189,1642.69226,,,,,,,-282.95947,520.90179,1734.95020,,,,-269.59940,143.05284,1933.67407,NA,P5,35
39,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.76054,1275.76917,1554.44897,,,,-211.52943,1256.62146,1309.66248,,,,-376.83502,974.18451,1637.24402,,,,,,,-286.86792,519.07343,1730.99561,,,,-270.05713,143.29790,1933.67456,NA,P5,35
40,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,-154.83299,1274.31702,1550.35852,,,,-213.17995,1256.49622,1305.88293,,,,-380.90143,971.85938,1633.11816,,,,,,,-291.90189,518.16980,1729.04163,,,,-270.58124,143.21266,1931.72339,NA,P5,35
41,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-157.75473,1273.36499,1546.62878,,,,-215.56007,1255.99194,1301.42505,,,,-385.12000,970.60687,1626.76843,,,,,,,-296.40753,517.40515,1723.77771,,,,-270.86548,143.42325,1931.68726,NA,P5,35
42,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,-161.21254,1271.79846,1542.72937,,,,-217.08423,1255.02588,1297.16260,,,,-389.21231,969.06635,1621.37622,,,,,,,-301.11401,515.47595,1719.81714,,,,-271.08560,144.03178,1931.95227,NA,P5,35
