"Frame#","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z","NA_C60","Participant","TrialNum","VisibleMarkers"
50,0.49,"","","","","","","","","","","","","-309.99023","1279.27063","-1274.33813","-657.49542","1293.30835","-1381.79590","-515.20935","1161.33777","-1219.62817","","","","-242.18445","947.70874","-1285.63232","","","","-277.36526","753.13806","-1209.58545","-707.50604","753.63983","-1289.49072","-412.28705","815.95978","-1224.78076","","","","","","","-438.59915","415.27963","-1167.53271","-588.45581","367.65930","-1450.73987","-435.42743","82.60873","-1185.80054","","","",NA,"P3",5,10
51,0.5,"","","","","","","","","","","","","-310.69208","1281.93701","-1268.45654","-658.16589","1296.22107","-1373.92065","-515.30536","1164.04529","-1210.79028","","","","-243.76778","949.37341","-1275.34143","","","","-279.93900","755.75378","-1200.05139","-709.02386","755.95929","-1279.19629","-414.53821","817.10901","-1217.76001","","","","","","","-438.28812","416.17935","-1161.99915","-594.35547","369.76788","-1428.16443","-435.83670","81.53362","-1185.42480","","","",NA,"P3",5,10
52,0.51,"","","","","","","","","","","","","-311.70700","1283.89331","-1260.65540","-659.21606","1298.12537","-1363.34412","-516.80499","1166.60010","-1202.34094","","","","-245.72932","951.41644","-1265.54065","","","","-282.08264","759.13831","-1185.08765","-710.90308","760.25354","-1269.68372","-415.15988","819.60736","-1208.31482","","","","","","","-436.66217","416.15131","-1155.77881","-599.96844","371.54538","-1403.90015","-435.16672","80.88651","-1185.31653","","","",NA,"P3",5,10
53,0.52,"","","","","","","","","","","","","-312.25940","1285.78772","-1253.29675","-659.56250","1300.41919","-1355.11072","-516.97913","1169.02075","-1194.00964","","","","-247.29192","953.21021","-1255.34631","","","","-285.89706","762.02368","-1173.64185","-713.56604","762.85773","-1259.47046","-415.89847","820.73633","-1199.69238","","","","","","","-437.52502","415.40469","-1154.00232","-604.68738","370.82654","-1385.14417","-434.21567","82.15708","-1182.40442","","","",NA,"P3",5,10
54,0.53,"","","","","","","","","","","","","-313.18204","1288.19189","-1247.28271","-660.98383","1302.66113","-1345.88452","-518.57892","1171.72131","-1185.48901","","","","-248.65152","955.07190","-1245.58423","","","","-288.31033","764.19843","-1162.76819","-716.10297","766.09784","-1247.27319","-416.47040","821.11615","-1191.13635","","","","","","","-436.66486","414.97482","-1151.61230","-611.36334","370.04669","-1366.13684","-434.73672","81.09521","-1183.70264","","","",NA,"P3",5,10
55,0.54,"","","","","","","","","","","","","-314.04486","1289.55859","-1238.95728","-661.29352","1305.30652","-1339.87122","-519.21210","1173.92456","-1176.98853","","","","-250.09747","955.73505","-1233.82275","","","","-292.38333","767.72699","-1149.32837","-718.14948","768.10284","-1237.59717","-416.66873","823.30988","-1181.28601","","","","","","","-436.75775","413.62064","-1148.50964","-617.08661","370.92310","-1347.24585","-434.10876","80.43444","-1183.62769","","","",NA,"P3",5,10
56,0.55,"","","","","","","","","","","","","-314.80377","1291.32361","-1232.24988","-663.24207","1306.88831","-1330.04565","-520.52692","1175.98389","-1168.27332","","","","-251.59869","957.22845","-1223.15137","","","","-293.92136","770.37451","-1137.88257","-721.11932","770.99750","-1225.85571","-418.75922","824.28925","-1174.49536","","","","","","","-435.98874","413.62131","-1145.31104","-623.24078","372.54556","-1327.10596","-433.90894","81.69469","-1181.00269","","","",NA,"P3",5,10
57,0.56,"","","","","","","","","","","","","-316.59485","1292.40674","-1223.29651","-663.66992","1308.20251","-1322.21472","-520.07947","1177.79150","-1160.52954","","","","-253.25082","958.86133","-1213.91565","","","","-296.41681","773.56775","-1125.47864","-723.24915","773.46118","-1215.65857","-419.88724","824.65802","-1165.87610","","","","","","","-435.42868","412.91199","-1140.55469","-628.93250","372.75366","-1307.17236","-433.46777","81.12216","-1181.11414","","","",NA,"P3",5,10
58,0.57,"","","","","","","","","","","","","-317.11411","1293.37073","-1215.47607","-665.73682","1309.89746","-1313.80798","-521.73846","1179.35742","-1151.78967","","","","-255.71262","960.39417","-1205.75085","","","","-299.43130","775.71576","-1112.79675","-726.63373","776.04480","-1203.94312","-422.71832","824.65668","-1158.22913","","","","","","","-434.85773","413.05228","-1138.09949","-635.08759","374.86008","-1287.73181","-433.37701","81.15344","-1181.04236","","","",NA,"P3",5,10
59,0.58,"","","","","","","","","","","","","-318.27505","1293.08081","-1204.35657","-666.52539","1310.37061","-1304.90344","-522.11108","1179.77466","-1144.52417","","","","-257.68829","961.54340","-1195.18848","-744.77686","967.02466","-1332.93591","-301.69724","777.99005","-1100.23010","-730.22778","778.68561","-1192.82654","-423.42139","825.11511","-1151.03296","","","","","","","-434.67978","413.14224","-1134.90137","-641.36462","377.86362","-1268.01184","-432.98126","81.14537","-1180.80505","","","",NA,"P3",5,11
60,0.59,"","","","","","","","","","","","","-319.86081","1294.75623","-1198.39526","-668.03748","1310.75330","-1295.27258","-523.63336","1180.90430","-1136.35229","","","","-258.82272","963.26642","-1186.85828","-747.50781","968.31348","-1323.61108","-305.34058","781.49109","-1088.35767","-732.31549","780.78308","-1181.46692","-425.78192","825.07599","-1144.31274","","","","","","","-433.70694","413.31671","-1131.74670","-648.49762","380.70514","-1248.47021","-432.60944","81.14794","-1180.59851","","","",NA,"P3",5,11
61,0.6,"","","","","","","","","","","","","-321.52014","1296.40430","-1192.58716","-669.36481","1312.89319","-1290.73743","-524.97632","1181.40540","-1128.62085","","","","-260.40649","962.58429","-1173.87000","-750.31256","969.13446","-1313.68335","-306.53134","783.66382","-1075.98254","-735.29626","782.63971","-1170.07080","-426.12381","826.03485","-1135.55151","","","","","","","-433.33377","413.21207","-1129.37415","-653.58575","383.95691","-1229.69617","-432.65933","80.91349","-1180.03748","","","",NA,"P3",5,11
62,0.61,"","","","","","","","","","","","","-322.93304","1297.50781","-1185.71497","-671.00586","1314.13550","-1283.93567","-526.41693","1183.29419","-1121.54785","","","","-262.51935","964.43451","-1164.50244","-754.11871","970.91302","-1304.73474","-309.20309","785.91980","-1062.56396","-738.22559","784.85016","-1158.66956","-427.70316","827.42670","-1128.22461","","","","","","","-434.56723","410.04568","-1129.86523","-659.98999","387.58539","-1210.87512","-433.49908","80.81895","-1180.34729","","","",NA,"P3",5,11
63,0.62,"","","","","","","","","","","","","-324.16107","1299.06970","-1180.16760","-672.27991","1315.06897","-1276.71826","-528.62738","1183.96033","-1114.05151","","","","-264.83969","966.50525","-1155.74329","-755.82452","970.83240","-1294.46179","-312.07614","788.66565","-1051.37207","-741.56665","788.22321","-1147.38416","-430.20557","827.80664","-1120.17578","","","","","","","-435.01367","410.66150","-1126.63477","-665.79755","390.98199","-1191.96387","-433.24002","80.56364","-1180.31213","","","",NA,"P3",5,11
64,0.63,"","","","","","","","","","","","","-326.44101","1299.33362","-1170.50745","-674.25635","1316.17627","-1269.11230","-530.31067","1184.54358","-1106.78845","","","","-266.63828","966.93616","-1143.93384","-758.29517","972.02722","-1285.64380","-314.83130","791.50928","-1039.43311","-743.85406","790.32922","-1135.77576","-431.81821","827.97913","-1112.24805","","","","","","","-434.86932","409.88068","-1124.04187","-673.16943","395.85706","-1174.21387","-434.14322","80.66933","-1179.85095","","","",NA,"P3",5,11
65,0.64,"","","","","","","-617.67548","1507.30212","-1089.71399","","","","-327.60095","1299.44543","-1160.84692","-675.31458","1315.91565","-1261.32898","-531.41553","1185.48926","-1099.42285","","","","-268.49402","968.19330","-1133.93433","-760.78864","972.71375","-1276.33545","-318.09128","794.06824","-1027.03992","-746.34607","793.42505","-1126.30383","-433.24185","830.35864","-1103.77576","","","","","","","-435.05850","410.29550","-1122.90784","-678.42358","400.15543","-1156.12732","-434.18817","80.65269","-1179.88635","","","",NA,"P3",5,12
66,0.65,"-491.44562","1362.09131","-1259.00720","","","","-619.47052","1507.32410","-1081.76855","","","","-329.74353","1300.72388","-1153.90771","-677.07556","1316.95471","-1253.98926","-533.52509","1186.73633","-1091.97131","","","","-270.71890","969.98578","-1124.65234","-763.15460","973.55371","-1267.78528","-320.86465","797.21558","-1015.60419","-749.85529","794.87390","-1114.38379","-435.92590","829.22668","-1101.37378","-484.63818","913.24072","-1336.44885","","","","-435.29810","411.26984","-1116.17310","-684.22217","405.49832","-1137.69800","-433.57962","81.56828","-1177.42798","","","",NA,"P3",5,14
67,0.66,"-493.42938","1362.72107","-1252.11353","","","","-621.16071","1506.94165","-1073.33386","","","","-331.62857","1302.37256","-1148.26514","-678.57562","1318.12451","-1246.90369","-535.06958","1187.34338","-1083.97363","","","","-272.50375","971.21887","-1114.78101","-765.43396","973.79071","-1258.55103","-323.46088","800.12079","-1003.05713","-753.65295","797.89966","-1103.39624","-437.24887","829.98260","-1091.16638","","","","","","","-436.29584","410.69089","-1115.69995","-689.22449","408.63461","-1120.76147","-433.84888","81.86854","-1177.51672","","","",NA,"P3",5,13
